Property,Building,Floor,Space,Image,Equipment Position,Asset ID,Asset Name,Quantity,Barcode (Auto),Supplier,Manufacturer (Spec),Manufactured Date,Model Name/No (Spec),Serial Number,Capacity,Height,Width,Depth,Parent Asset ID,Parent Asset Name,In Service Date,Observation Date,Operating Environment,Asset Criticality,Asset Condition Rating,Condition Assessment Comments,Current Utilisation,Asset Service Status,Notes/Comments,Created By,Modified By,Asset Name Lookup (wip),Created
,,Ground,14,,,KIA - 0023,Diaphragm Pump,1.00,KIA - 0023,,Kwikflo,,KDS25-100,,,,,,,,,13/12/2021,2 - Normal,2 - Medium,1 - Excellent,,3 - Normal,,,Mark Steel (NSW Ambulance),Mark Steel (NSW Ambulance),,13/12/2021 13:55
,,Ground,14,,,KIA - 0024,Oil Seperator Induction Motor,1.00,KIA - 0024,,WEG,,W22,,,,,,,,,13/12/2021,2 - Normal,2 - Medium,1 - Excellent,,3 - Normal,,,Mark Steel (NSW Ambulance),Shant Khina (NSW Ambulance),,13/12/2021 13:56
,,Ground,15,,Behind building ,KIA - 0026,Hot Water Heater,1.00,KIA - 0026,,Rinnai ,,Sph-315m-3.6,MP250550,315,,,,,,,13/12/2021,2 - Normal,2 - Medium,1 - Excellent,,3 - Normal,,,Mark Steel (NSW Ambulance),Mark Steel (NSW Ambulance),,13/12/2021 14:09
,,Ground,15,,Behind building,,Dual curculation pump,1.00,0,,REEFE,,RHC2060-S/S,,,,,,,,,13/12/2021,2 - Normal,2 - Medium,1 - Excellent,,3 - Normal,,,Mark Steel (NSW Ambulance),Mark Steel (NSW Ambulance),,13/12/2021 14:10
,,Ground,15,,Behind building,KIA - 0025,Mechanical Sercives Switchboard,1.00,KIA - 0025,,ENVIRO,,,,,,,,,,,13/12/2021,2 - Normal,2 - Medium,1 - Excellent,,3 - Normal,,,Mark Steel (NSW Ambulance),Mark Steel (NSW Ambulance),,13/12/2021 14:12
,,Ground,15,,Behind building ,KIA - 0027,A/C Unit Split (Outdoor),1.00,KIA - 0027,,Mitsubishi ,,MUZ-GE50VAD,7001357T,,,,,,,,13/12/2021,2 - Normal,2 - Medium,1 - Excellent,,3 - Normal,,,Mark Steel (NSW Ambulance),Mark Steel (NSW Ambulance),,13/12/2021 14:13
,,Ground,15,,Behind building ,KIA - 0028,A/C Air Package Unit,1.00,KIA - 0028,,Mitsubishi ,1/11/2017,PURY-P250YLM-A,7ZW01904,,,,,,,,13/12/2021,2 - Normal,2 - Medium,1 - Excellent,,3 - Normal,,,Mark Steel (NSW Ambulance),Mark Steel (NSW Ambulance),,13/12/2021 14:14
,,Ground,15,,Behind building next to delivery room ,KIA - 0029,Fire Hose Reel,1.00,KIA - 0029,,BFI (36m),,,,,,,,,,,13/12/2021,2 - Normal,2 - Medium,1 - Excellent,,3 - Normal,,,Mark Steel (NSW Ambulance),Mark Steel (NSW Ambulance),,13/12/2021 14:16
,,Ground,15,,Next to rain water tank. Under fire hose reel,KIA - 0030,Rain water tank (pump),1.00,KIA - 0030,,DAB,,,,,,,,,,,13/12/2021,2 - Normal,2 - Medium,1 - Excellent,,3 - Normal,,,Mark Steel (NSW Ambulance),Mark Steel (NSW Ambulance),,13/12/2021 14:18
,,Ground,15,,Next to rain water tank. Under fire hose reel ,KIA - 0031,Pump Controller,1.00,KIA - 0031,,Icon,,Ipress Pro,,,,,,,,,13/12/2021,2 - Normal,2 - Medium,1 - Excellent,,3 - Normal,,,Mark Steel (NSW Ambulance),Mark Steel (NSW Ambulance),,13/12/2021 14:19
,,Ground,15,,Behind building next to fire hose reel,KIA - 0032,Rain water tank,1.00,KIA - 0032,,Kingspan water,1/5/2018,,134496,"5,100",,,,,,,13/12/2021,2 - Normal,2 - Medium,1 - Excellent,,3 - Normal,,,Mark Steel (NSW Ambulance),Mark Steel (NSW Ambulance),,13/12/2021 14:20
,,Ground,15,,Behind building next to fire hose reel ,KIA - 0033,Rain water tank,1.00,KIA - 0033,,Kingspan,,,141992,"5,790",,,,,,,13/12/2021,2 - Normal,2 - Medium,1 - Excellent,,3 - Normal,,,Mark Steel (NSW Ambulance),Mark Steel (NSW Ambulance),,13/12/2021 14:22
,,Ground,15,,Front garden,,RPZ,1.00,0,,Apollo,1/8/2017,RPAULF4A,870137,,,,,,,,13/12/2021,2 - Normal,2 - Medium,1 - Excellent,,3 - Normal,,,Mark Steel (NSW Ambulance),Mark Steel (NSW Ambulance),,13/12/2021 14:24
,,Ground,15,processed-AF115864-A1CC-4122-860A-DA2AA702CED6-7812B036-0E17-4468-913E-3BC1430C8B27.jpeg,Front garden,,Water meter,1.00,0,,,,,DGHLOO84,,,,,,,,13/12/2021,2 - Normal,2 - Medium,1 - Excellent,,3 - Normal,,,Mark Steel (NSW Ambulance),Mark Steel (NSW Ambulance),,13/12/2021 14:25
,,Ground,15,,Front of building ,KIA - 0036,Main Switchboard,1.00,KIA - 0036,,Relec ,,,,,,,,,,,13/12/2021,2 - Normal,2 - Medium,1 - Excellent,,3 - Normal,,,Mark Steel (NSW Ambulance),Mark Steel (NSW Ambulance),,13/12/2021 14:26
,,Ground,15,,,,RCBO,1.00,0,,Clipsal,,RCBE220/30S C20,,,,,,KIA - 0036,,,13/12/2021,2 - Normal,2 - Medium,1 - Excellent,,3 - Normal,,,Mark Steel (NSW Ambulance),Mark Steel (NSW Ambulance),,13/12/2021 14:27
,,Ground,15,,Driveway entry,KIA - 0034,Automatic sliding gate,1.00,KIA - 0034,,Reninca,,,,,,,,,,,13/12/2021,2 - Normal,2 - Medium,1 - Excellent,,3 - Normal,,,Mark Steel (NSW Ambulance),Mark Steel (NSW Ambulance),,13/12/2021 14:29
,,Ground,15,,Next to entry door 001,KIA - 0035,Fie Extinguisher (Powder),1.00,KIA - 0035,,,,,,,,,,,,,13/12/2021,2 - Normal,2 - Medium,1 - Excellent,,3 - Normal,,,Mark Steel (NSW Ambulance),Mark Steel (NSW Ambulance),,13/12/2021 14:31
,,Ground,15,,Patio entertainment area,KIA - 0037,Fire Hose Reel,1.00,KIA - 0037,,BFI (36m),,,,,,,,,,,13/12/2021,2 - Normal,2 - Medium,1 - Excellent,,3 - Normal,,,Mark Steel (NSW Ambulance),Mark Steel (NSW Ambulance),,13/12/2021 14:32
Kiama RAIR Ambulance Station,Carport,Ground,1,,,KIA 0038,RPZ,1.00,KIA 0038,,Febco,,860L,49509,,,,,,,,13/12/2021,2 - Normal,2 - Medium,1 - Excellent,,3 - Normal,,,Mark Steel (NSW Ambulance),Mark Steel (NSW Ambulance),,13/12/2021 14:37
,Carport ,Ground,1,,,KIA - 0039,RPZ,1.00,KIA - 0039,,Febco,,860L,49466,,,,,,,,13/12/2021,2 - Normal,2 - Medium,1 - Excellent,,3 - Normal,,,Mark Steel (NSW Ambulance),Mark Steel (NSW Ambulance),,13/12/2021 14:38
,Carport ,Ground,1,,,KIA - 0040,Eye Wash Station,1.00,KIA - 0040,,Enware,,,,,,,,,,,13/12/2021,2 - Normal,2 - Medium,1 - Excellent,,3 - Normal,,,Mark Steel (NSW Ambulance),Mark Steel (NSW Ambulance),,13/12/2021 14:39
,Carport ,Ground,1,,,KIA - 0041,Pressure Cleaner,1.00,KIA - 0041,,Nilfisk ,,SC UNO PS,107340500,,,,,,,,13/12/2021,2 - Normal,2 - Medium,1 - Excellent,,3 - Normal,,,Mark Steel (NSW Ambulance),Mark Steel (NSW Ambulance),,13/12/2021 14:41
,Carport ,Ground,1,,,KIA - 0042,Stainless Steel Commercial Sink,1.00,KIA - 0042,,Austmont,,,,,,,,,,,13/12/2021,2 - Normal,2 - Medium,1 - Excellent,,3 - Normal,,,Mark Steel (NSW Ambulance),Mark Steel (NSW Ambulance),,13/12/2021 14:41
,Carport ,Ground,1,,,KIA - 0043,TMV,1.00,KIA - 0043,,AVG Australian valve group,,,,,,,,,,,13/12/2021,2 - Normal,2 - Medium,1 - Excellent,,3 - Normal,,,Mark Steel (NSW Ambulance),Mark Steel (NSW Ambulance),,13/12/2021 14:42
,Carport ,Ground,1,,,,Automatic Roller Door Motor,1.00,0,,ATA,,TORO GDO-10V3,,,,,,,,,13/12/2021,2 - Normal,2 - Medium,1 - Excellent,,3 - Normal,,,Mark Steel (NSW Ambulance),Mark Steel (NSW Ambulance),,13/12/2021 14:45
,Carport ,Ground,1,,,KIA - 0044,Automatic Roller Door,1.00,KIA - 0044,,,,,,,3,5.2,,,,,13/12/2021,2 - Normal,2 - Medium,1 - Excellent,,3 - Normal,,,Mark Steel (NSW Ambulance),Mark Steel (NSW Ambulance),,13/12/2021 14:47
Sussex Inlet Ambulance Station ,Sussex Inlet Ambulance Station ,Ground,1,,Above entry door,SUS - 0001,Emergency Exit Light (Green),1.00,SUS - 0001,,Legrand ,,Led Slide Connect,,,,,,,,,7/2/2022,2 - Normal,2 - Medium,1 - Excellent,,3 - Normal,,,Mark Steel (NSW Ambulance),Mark Steel (NSW Ambulance),,7/2/2022 12:36
Sussex Inlet Ambulance Station ,Sussex Inlet Ambulance Station ,Ground,1,,,,Emergency Exit Light (Spitfire),1.00,0,,,,,,,,,,,,,7/2/2022,2 - Normal,2 - Medium,1 - Excellent,,3 - Normal,,,Mark Steel (NSW Ambulance),Mark Steel (NSW Ambulance),,7/2/2022 12:37
Sussex Inlet Ambulance Station ,Sussex Inlet Ambulance Station ,Ground,1,,,SUS - 0002,A/C Unit Split (Indoor),1.00,SUS - 0002,,Daikin,,CTXM35RVMA,E005841,,,,,,,,7/2/2022,2 - Normal,2 - Medium,1 - Excellent,,3 - Normal,,,Mark Steel (NSW Ambulance),Mark Steel (NSW Ambulance),,7/2/2022 12:39
Sussex Inlet Ambulance Station ,Sussex Inlet Ambulance Station ,Ground,1,,,SUS - 0003,Fire Hose Reel,1.00,SUS - 0003,,Bulbeck Fire Industries ,1/1/2002,36m,,,,,,,,,7/2/2022,2 - Normal,2 - Medium,1 - Excellent,,3 - Normal,,,Mark Steel (NSW Ambulance),Mark Steel (NSW Ambulance),,7/2/2022 12:41
Sussex Inlet Ambulance Station ,Sussex Inlet Ambulance Station ,Ground,1,,,SUS - 0004,Fire Extinguisher (Dry Chemical),1.00,SUS - 0004,,,,,,,,,,,,,7/2/2022,2 - Normal,2 - Medium,1 - Excellent,,3 - Normal,,,Mark Steel (NSW Ambulance),Mark Steel (NSW Ambulance),,7/2/2022 12:41
Sussex Inlet Ambulance Station ,Sussex Inlet Ambulance Station ,Ground,2,,Office area,,Smoke Detector,1.00,0,,,,,,,,,,,,,7/2/2022,2 - Normal,2 - Medium,1 - Excellent,,3 - Normal,,,Mark Steel (NSW Ambulance),Mark Steel (NSW Ambulance),,7/2/2022 12:44
Sussex Inlet Ambulance Station ,Sussex Inlet Ambulance Station ,Ground,2,,Above Entry door to space 001,,Emergency Exit Light (Spitfire),1.00,0,,,,,,,,,,,,,7/2/2022,2 - Normal,2 - Medium,1 - Excellent,,3 - Normal,,,Mark Steel (NSW Ambulance),Mark Steel (NSW Ambulance),,7/2/2022 12:44
Sussex Inlet Ambulance Station ,Sussex Inlet Ambulance Station ,Ground,2,,Office area,SUS - 0005,A/C Unit Split (Indoor),1.00,SUS - 0005,,Daikin,,CTXM35RVMA,E006338,,,,,,,,7/2/2022,2 - Normal,2 - Medium,1 - Excellent,,3 - Normal,,,Mark Steel (NSW Ambulance),Mark Steel (NSW Ambulance),,7/2/2022 12:46
Sussex Inlet Ambulance Station ,Sussex Inlet Ambulance Station ,Ground,2,,Outside gym,,Smoke Detector,1.00,0,,,,,,,,,,,,,7/2/2022,2 - Normal,2 - Medium,1 - Excellent,,3 - Normal,,,Mark Steel (NSW Ambulance),Mark Steel (NSW Ambulance),,7/2/2022 12:47
Sussex Inlet Ambulance Station ,Sussex Inlet Ambulance Station ,Ground,2,,Outside gym,,Emergency Exit Light (Spitfire),1.00,0,,,,,,,,,,,,,7/2/2022,2 - Normal,2 - Medium,1 - Excellent,,3 - Normal,,,Mark Steel (NSW Ambulance),Mark Steel (NSW Ambulance),,7/2/2022 12:48
Sussex Inlet Ambulance Station ,Sussex Inlet Ambulance Station ,Ground,3,,,SUS - 0006,A/C Unit Split (Indoor),1.00,SUS - 0006,,Daikin,,CTXM35RVMA,E006336,,,,,,,,7/2/2022,2 - Normal,2 - Medium,1 - Excellent,,3 - Normal,,,Mark Steel (NSW Ambulance),Mark Steel (NSW Ambulance),,7/2/2022 12:49
Sussex Inlet Ambulance Station ,Sussex Inlet Ambulance Station ,Ground,7,,,,Smoke Detector,1.00,0,,,,,,,,,,,,,7/2/2022,2 - Normal,2 - Medium,1 - Excellent,,3 - Normal,,,Mark Steel (NSW Ambulance),Mark Steel (NSW Ambulance),,7/2/2022 12:51
Sussex Inlet Ambulance Station ,Sussex Inlet Ambulance Station ,Ground,7,,,SUS - 0007,A/C Unit Split (Indoor),1.00,SUS - 0007,,Daikin,,FTXD50BVMA,3909659,,,,,,,,7/2/2022,2 - Normal,2 - Medium,1 - Excellent,,3 - Normal,,,Mark Steel (NSW Ambulance),Mark Steel (NSW Ambulance),,7/2/2022 12:53
